method,scope,label,num_queries,P@20,P@40,P@60
Color+Structure,overall,all,135,0.1381481481481481,0.1018518518518518,0.0896296296296296
SIFT-BoVW,overall,all,135,0.1855555555555555,0.1525925925925926,0.1399999999999999
ResNet50,overall,all,135,0.8311111111111112,0.7874074074074074,0.7530864197530864
